sensitivity,reason,metric,n_train,n_holdout,holdout_events,cv_mean_difference,cv_corrected_se,cv_t_statistic,cv_df,cv_raw_p_value,cv_ci_lower,cv_ci_upper,holdout_ed,holdout_full,holdout_delta,primary_replacement,sign_convention
adult_only,Population-definition: employment and some access/health items are often inapplicable for children.,roc_auc,3162,1048,166,0.01940029522745273,0.011805674041282441,1.6433026322438844,24,0.1133588570254699,-0.0049654184453994075,0.04376600890030487,0.7141081332131245,0.7585785318143321,0.044470398601207606,False,Δ = Full − ED-history; lower Brier is better
adult_only,Population-definition: employment and some access/health items are often inapplicable for children.,pr_auc,3162,1048,166,0.02994307632969056,0.009041017993094017,3.3119142504265096,24,0.0029255519073588822,0.01128333229809073,0.04860282036129039,0.3662630989706076,0.4302960332114648,0.06403293424085721,False,Δ = Full − ED-history; lower Brier is better
adult_only,Population-definition: employment and some access/health items are often inapplicable for children.,brier,3162,1048,166,-0.0013701860321062515,0.0010296349473906702,-1.3307493452690349,24,0.19577725083686592,-0.0034952481190278026,0.0007548760548152997,0.1192335103065424,0.11403805165450959,-0.005195458652032817,False,Δ = Full − ED-history; lower Brier is better
