repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,noaccess_roc_auc,noaccess_pr_auc,noaccess_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_noaccess_minus_ed,delta_pr_noaccess_minus_ed,delta_brier_noaccess_minus_ed,delta_roc_noaccess_minus_full,delta_pr_noaccess_minus_full,delta_brier_noaccess_minus_full,holdout_seed,cv_random_state,holdout_used,experiment_id
0,0,0,3064,767,0.6386979347952197,0.2688798083348796,0.10976634154730357,0.7065712379626405,0.31983815381940783,0.10747142608738543,0.7099504002784547,0.3173478941513518,0.10798023143022933,0.0678733031674208,0.05095834548452821,-0.00229491545991814,0.07125246548323494,0.04846808581647216,-0.0017861101170742327,0.0033791623158141437,-0.0024902596680560496,0.0005088053428439071,42,2021,False,B4
0,1,1,3065,766,0.6833604462003254,0.29311774979749117,0.10935192663249017,0.7496877178712527,0.36150493388773636,0.10470588970674546,0.7493100743667209,0.3614492023703617,0.10489678858122728,0.06632727167092722,0.06838718409024519,-0.004646036925744709,0.06594962816639549,0.06833145257287054,-0.004455138051262894,-0.0003776435045317328,-5.573151737464643e-05,0.0001908988744818152,42,2021,False,B4
0,2,2,3065,766,0.6669983151289798,0.26026541663970004,0.11123232488742332,0.677870090634441,0.2905351541563251,0.11174849765690834,0.6741953288403439,0.28769373014947375,0.11214947608909392,0.010871775505461256,0.03026973751662504,0.0005161727694850127,0.007197013711364164,0.027428313509773705,0.0009171512016706018,-0.0036747617940970922,-0.002841424006851334,0.00040097843218558915,42,2021,False,B4
0,3,3,3065,766,0.7000203346502442,0.36640716052430033,0.10234474166205203,0.7347344875668138,0.3961238385643026,0.10169676626399485,0.7302608645131303,0.3865507532991276,0.10212459311059964,0.03471415291656965,0.029716678040002276,-0.0006479753980571795,0.030240529862886167,0.020143592774827246,-0.0002201485514523871,-0.004473623053683484,-0.00957308526517503,0.0004278268466047924,42,2021,False,B4
0,4,4,3065,766,0.7295491517545898,0.3393880312426882,0.10567459306644324,0.729113409249361,0.37925539719889356,0.10332132045484207,0.7271380432256566,0.3797098982203333,0.10335570060010858,-0.00043574250522881997,0.03986736595620538,-0.002353272611601162,-0.0024111085289332257,0.040321866977645116,-0.0023188924663346544,-0.0019753660237044057,0.0004545010214397349,3.438014526650768e-05,42,2021,False,B4
1,0,5,3064,767,0.7197543218470821,0.358444390884489,0.10424236435870586,0.7348590323703446,0.3582060427264369,0.10412756781810567,0.7276221139343311,0.351249719727115,0.1046400857313972,0.015104710523262455,-0.00023834815805207077,-0.00011479654060018996,0.00786779208724897,-0.0071946711573739885,0.0003977213726913398,-0.007236918436013484,-0.006956322999321918,0.0005125179132915297,42,2021,False,B4
1,1,6,3065,766,0.6332791075993492,0.2793562225784019,0.10849432982122566,0.6762287938647455,0.32847146628850465,0.10739355462482748,0.6754735068556821,0.32805249054647445,0.10743163827179336,0.0429496862653963,0.04911524371010273,-0.0011007751963981738,0.04219439925633284,0.048696267968072526,-0.0010626915494322958,-0.0007552870090634656,-0.00041897574203020316,3.808364696587796e-05,42,2021,False,B4
1,2,7,3065,766,0.7055324773413897,0.3218886150839449,0.1061033929305866,0.7323960027887519,0.3499055018690477,0.10450421295065755,0.724421914943063,0.34595956606660283,0.10492994943008296,0.026863525447362258,0.02801688678510278,-0.0015991799799290468,0.018889437601673276,0.024070950982657935,-0.0011734435005036348,-0.007974087845688982,-0.003945935802444844,0.00042573647942541204,42,2021,False,B4
1,3,8,3065,766,0.7050386358354637,0.3228365489724573,0.10650326596410732,0.7327082849174995,0.36317424661982245,0.10351682516190858,0.7318367999070416,0.3610193467829453,0.10372268198830709,0.02766964908203584,0.04033769764736517,-0.002986440802198745,0.02679816407157798,0.038182797810488,-0.0027805839758002354,-0.000871485010457862,-0.0021548998368771666,0.00020585682639850944,42,2021,False,B4
1,4,9,3065,766,0.6601426330467116,0.25823074094692455,0.11320601930242583,0.6837526144550313,0.30423589074042556,0.11006867287277612,0.6914797815477574,0.304753934425404,0.10975414501131915,0.023609981408319713,0.04600514979350101,-0.003137346429649704,0.03133714850104574,0.04652319347847944,-0.003451874291106674,0.007727167092726028,0.0005180436849784309,-0.0003145278614569702,42,2021,False,B4
2,0,10,3064,767,0.6696615036547162,0.30282954143766044,0.10808230219814435,0.6821266968325792,0.32765788425512343,0.10741005052190246,0.6846066829098504,0.32491430225280116,0.10771613841381032,0.012465193177862988,0.02482834281746299,-0.0006722516762418945,0.014945179255134167,0.022084760815140714,-0.00036616378433403096,0.002479986077271179,-0.0027435820023222757,0.00030608789190786356,42,2021,False,B4
