repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,nohealth_roc_auc,nohealth_pr_auc,nohealth_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_nohealth_minus_ed,delta_pr_nohealth_minus_ed,delta_brier_nohealth_minus_ed,delta_roc_nohealth_minus_full,delta_pr_nohealth_minus_full,delta_brier_nohealth_minus_full,holdout_seed,cv_random_state,holdout_used
0,0,0,3064,767,0.6386979347952197,0.2688798083348796,0.10976634154730357,0.7065712379626405,0.31983815381940783,0.10747142608738543,0.700146478709827,0.3244444469087291,0.10694434576737626,0.0678733031674208,0.05095834548452821,-0.00229491545991814,0.0614485439146073,0.05556463857384947,-0.002821995779927311,-0.0064247592528134945,0.004606293089321256,-0.0005270803200091712,42,2021,False
0,1,1,3065,766,0.6833604462003254,0.29311774979749117,0.10935192663249017,0.7496877178712527,0.36150493388773636,0.10470588970674546,0.7463905995816872,0.34924583034091244,0.10564165179817706,0.06632727167092722,0.06838718409024519,-0.004646036925744709,0.06303015338136175,0.05612808054342128,-0.003710274834313118,-0.0032971182895654705,-0.012259103546823913,0.0009357620914315912,42,2021,False
0,2,2,3065,766,0.6669983151289798,0.26026541663970004,0.11123232488742332,0.677870090634441,0.2905351541563251,0.11174849765690834,0.683491168951894,0.29290781982709235,0.11096460243549527,0.010871775505461256,0.03026973751662504,0.0005161727694850127,0.01649285382291421,0.03264240318739231,-0.00026772245192804855,0.005621078317452954,0.002372665670767271,-0.0007838952214130612,42,2021,False
0,3,3,3065,766,0.7000203346502442,0.36640716052430033,0.10234474166205203,0.7347344875668138,0.3961238385643026,0.10169676626399485,0.7437398326748781,0.4060161480093895,0.10107886647019279,0.03471415291656965,0.029716678040002276,-0.0006479753980571795,0.04371949802463393,0.039608987485089175,-0.0012658751918592365,0.009005345108064278,0.0098923094450869,-0.000617899793802057,42,2021,False
0,4,4,3065,766,0.7295491517545898,0.3393880312426882,0.10567459306644324,0.729113409249361,0.37925539719889356,0.10332132045484207,0.7390338136184058,0.37488190269998056,0.10317072941568006,-0.00043574250522881997,0.03986736595620538,-0.002353272611601162,0.009484661863816024,0.03549387145729238,-0.0025038636507631745,0.009920404369044844,-0.004373494498913,-0.00015059103916201244,42,2021,False
1,0,5,3064,767,0.7197543218470821,0.358444390884489,0.10424236435870586,0.7348590323703446,0.3582060427264369,0.10412756781810567,0.7435969950110222,0.3656366703178106,0.1034888578410811,0.015104710523262455,-0.00023834815805207077,-0.00011479654060018996,0.023842673163940065,0.0071922794333216244,-0.0007535065176247635,0.00873796264067761,0.007430627591373695,-0.0006387099770245735,42,2021,False
1,1,6,3065,766,0.6332791075993492,0.2793562225784019,0.10849432982122566,0.6762287938647455,0.32847146628850465,0.10739355462482748,0.6742243783406925,0.32035535940158344,0.10771456064137379,0.0429496862653963,0.04911524371010273,-0.0011007751963981738,0.04094527074134324,0.040999136823181515,-0.0007797691798518691,-0.0020044155240530603,-0.008116106886921215,0.0003210060165463047,42,2021,False
1,2,7,3065,766,0.7055324773413897,0.3218886150839449,0.1061033929305866,0.7323960027887519,0.3499055018690477,0.10450421295065755,0.7353881013246572,0.3538258721415507,0.10437128450871432,0.026863525447362258,0.02801688678510278,-0.0015991799799290468,0.029855623983267465,0.031937257057605806,-0.0017321084218722832,0.0029920985359052077,0.0039203702725030265,-0.00013292844194323639,42,2021,False
1,3,8,3065,766,0.7050386358354637,0.3228365489724573,0.10650326596410732,0.7327082849174995,0.36317424661982245,0.10351682516190858,0.7363467348361609,0.3704615359571669,0.10290990871231893,0.02766964908203584,0.04033769764736517,-0.002986440802198745,0.0313080990006972,0.04762498698470963,-0.003593357251788387,0.0036384499186613573,0.00728728933734446,-0.0006069164495896423,42,2021,False
1,4,9,3065,766,0.6601426330467116,0.25823074094692455,0.11320601930242583,0.6837526144550313,0.30423589074042556,0.11006867287277612,0.7249302811991635,0.3287719856827876,0.10783330564337633,0.023609981408319713,0.04600514979350101,-0.003137346429649704,0.06478764815245186,0.07054124473586304,-0.005372713659049497,0.041177666744132146,0.02453609494236203,-0.002235367229399793,42,2021,False
