model,n_test,prevalence,roc_auc,pr_auc,brier_score,delta_roc_vs_ed_history,delta_pr_vs_ed_history,delta_roc_vs_original_best_ed_baseline
ed_history_only,1277,0.13547376664056382,0.709095145346402,0.33079411280933274,0.10528623721670442,0.0,0.0,0.0
ed_demographics,1277,0.13547376664056382,0.7524268032168887,0.3997767953253719,0.10110048393642576,0.04333165787048676,0.06898268251603917,0.04333165787048676
ed_health,1277,0.13547376664056382,0.7392587124068024,0.3772701926335693,0.1028862075165725,0.030163567060400465,0.04647607982423657,0.030163567060400465
ed_access,1277,0.13547376664056382,0.7401042975622015,0.35565592448408223,0.10404824779170033,0.031009152215799585,0.02486181167474949,0.031009152215799585
ed_socioeconomic,1277,0.13547376664056382,0.7457301876518388,0.3821496333337758,0.10287602735803326,0.036635042305436905,0.05135552052444303,0.036635042305436905
full_model,1277,0.13547376664056382,0.7740062410991038,0.41593508223653725,0.09938997744487747,0.06491109575270182,0.0851409694272045,0.06491109575270182
