sensitivity,reason,metric,n_train,n_holdout,holdout_events,cv_mean_difference,cv_corrected_se,cv_t_statistic,cv_df,cv_raw_p_value,cv_ci_lower,cv_ci_upper,holdout_ed,holdout_full,holdout_delta,primary_replacement,sign_convention
covid2020_exclude_ERTOTY2,2020 ED volume was disrupted; drop ERTOTY2 from both nested models.,roc_auc,3831,1277,173,0.04596350883262547,0.011626219664072544,3.953435438232975,24,0.0005926536747119271,0.02196817079077469,0.06995884687447625,0.6839186981653682,0.773074264890676,0.08915556672530778,False,Δ = Full − ED-history; lower Brier is better
covid2020_exclude_ERTOTY2,2020 ED volume was disrupted; drop ERTOTY2 from both nested models.,pr_auc,3831,1277,173,0.051771502659762145,0.010765201036176748,4.809153353084872,24,6.746900666135596e-05,0.029553219725560437,0.07398978559396385,0.3068886526712302,0.40864184632504313,0.10175319365381291,False,Δ = Full − ED-history; lower Brier is better
covid2020_exclude_ERTOTY2,2020 ED volume was disrupted; drop ERTOTY2 from both nested models.,brier,3831,1277,173,-0.0020615252033655135,0.0010024421114391677,-2.056502993879478,24,0.05076273299290686,-0.0041304640352801715,7.413628549144541e-06,0.10620335674560766,0.09976779985459373,-0.006435556891013924,False,Δ = Full − ED-history; lower Brier is better
