sensitivity,reason,metric,n_train,n_holdout,holdout_events,cv_mean_difference,cv_corrected_se,cv_t_statistic,cv_df,cv_raw_p_value,cv_ci_lower,cv_ci_upper,holdout_ed,holdout_full,holdout_delta,primary_replacement,sign_convention
all9rds,Complete nine-round interview participation (AHRQ ALL9RDS==1) as a selection check.,roc_auc,3663,1220,166,0.031149283719091213,0.01211459063680444,2.571220493778707,24,0.016757734251384996,0.006145997529078195,0.056152569909104236,0.7072254863857708,0.7703870510505019,0.0631615646647311,False,Δ = Full − ED-history; lower Brier is better
all9rds,Complete nine-round interview participation (AHRQ ALL9RDS==1) as a selection check.,pr_auc,3663,1220,166,0.03807278047616694,0.013000058932780612,2.928662144766406,24,0.007347305031524459,0.011241977543721485,0.0649035834086124,0.3343326397041744,0.4170982810664031,0.08276564136222875,False,Δ = Full − ED-history; lower Brier is better
all9rds,Complete nine-round interview participation (AHRQ ALL9RDS==1) as a selection check.,brier,3663,1220,166,-0.0018191976789827995,0.001128580541287479,-1.611934294833285,24,0.12005056926882458,-0.004148473434827405,0.0005100780768618057,0.10548937259056229,0.09977699310788476,-0.0057123794826775265,False,Δ = Full − ED-history; lower Brier is better
