repeat,fold,fold_index,n_cv_train,n_cv_val,val_prevalence,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,delta_roc_auc,delta_pr_auc,delta_brier,cv_random_state,n_splits,n_repeats
0,0,0,3064,767,0.13559322033898305,0.6356088293305489,0.2592969455464866,0.11028928408602677,0.707412402830955,0.3150621436837891,0.107883364877092,0.07180357350040611,0.05576519813730252,-0.0024059192089347647,2021,5,5
0,1,1,3065,766,0.13577023498694518,0.6614498605623984,0.27583908005645813,0.10924114928244397,0.7453593423193121,0.3590477900548391,0.10462473642840713,0.0839094817569137,0.08320870999838098,-0.0046164128540368415,2021,5,5
0,2,2,3065,766,0.13577023498694518,0.6585812224029747,0.23533433219683045,0.1126742688685521,0.6745584475947013,0.285434660760717,0.11221107310356196,0.01597722519172662,0.05010032856388655,-0.00046319576499014026,2021,5,5
0,3,3,3065,766,0.13577023498694518,0.6740573437136881,0.359458972746993,0.10229174877714019,0.7332820125493842,0.3966643045683488,0.10156932252118518,0.059224668835696104,0.03720533182135577,-0.0007224262559550054,2021,5,5
0,4,4,3065,766,0.13577023498694518,0.7027001510574018,0.312005144001674,0.1069994476589876,0.7268765977225192,0.36763314677190423,0.10403054014279606,0.024176446665117424,0.05562800277023022,-0.0029689075161915407,2021,5,5
1,0,5,3064,767,0.13559322033898305,0.6986526859264416,0.3418053151827867,0.1044374399255575,0.7339453532892446,0.3578959303549689,0.10396746436619653,0.03529266736280301,0.016090615172182243,-0.0004699755593609717,2021,5,5
1,1,6,3065,766,0.13577023498694518,0.6195822681849872,0.2568437319277098,0.10949253287718286,0.6731059725772716,0.32108279557511477,0.10800527809276485,0.05352370439228438,0.06423906364740495,-0.00148725478441801,2021,5,5
1,2,7,3065,766,0.13577023498694518,0.6697798047873578,0.2941673970958022,0.10750651693527549,0.728285498489426,0.3442881636267962,0.10524692167504492,0.05850569370206826,0.05012076653099401,-0.0022595952602305763,2021,5,5
1,3,8,3065,766,0.13577023498694518,0.6962511619800139,0.3154354916301683,0.10665705075023835,0.7313720079014642,0.36622199738028927,0.10327518861364333,0.03512084592145026,0.05078650575012095,-0.0033818621365950124,2021,5,5
1,4,9,3065,766,0.13577023498694518,0.6492490704159888,0.24738097543624524,0.11368319026835129,0.6871514059958169,0.3029881507045639,0.11023307638754234,0.03790233557982814,0.05560717526831868,-0.0034501138808089443,2021,5,5
2,0,10,3064,767,0.13559322033898305,0.6560578373361179,0.29184841849023974,0.10812588577032901,0.6843166260587075,0.33605757305327166,0.10721184963074692,0.02825878872258958,0.04420915456303193,-0.000914036139582089,2021,5,5
2,1,11,3065,766,0.13577023498694518,0.6697144434115733,0.2547861214521232,0.11322039344732576,0.7270145828491749,0.3206367355686845,0.10857202603758218,0.057300139437601594,0.06585061411656129,-0.004648367409743587,2021,5,5
2,2,12,3065,766,0.13577023498694518,0.6669402161282826,0.31783883618518854,0.10528793864890965,0.6930339298164072,0.34103187938150437,0.10614028852105259,0.02609371368812463,0.02319304319631582,0.0008523498721429434,2021,5,5
2,3,13,3065,766,0.13577023498694518,0.6844062282128748,0.28146365969012227,0.10860090834878355,0.7271089937253079,0.3436783264553671,0.10482883685837675,0.04270276551243313,0.06221466676524484,-0.0037720714904068003,2021,5,5
2,4,14,3065,766,0.13577023498694518,0.6576806878921683,0.3032003000835837,0.10632993755676089,0.7012694631652335,0.33073831919247376,0.10705131746164338,0.04358877527306526,0.02753801910889009,0.0007213799048824965,2021,5,5
