repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,noses_roc_auc,noses_pr_auc,noses_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_noses_minus_ed,delta_pr_noses_minus_ed,delta_brier_noses_minus_ed,delta_roc_noses_minus_full,delta_pr_noses_minus_full,delta_brier_noses_minus_full,holdout_seed,cv_random_state,holdout_used,experiment_id
0,0,0,3064,767,0.6386979347952197,0.2688798083348796,0.10976634154730357,0.7065712379626405,0.31983815381940783,0.10747142608738543,0.7048453996983408,0.31742523096907765,0.10782045532917192,0.0678733031674208,0.05095834548452821,-0.00229491545991814,0.06614746490312107,0.04854542263419803,-0.0019458862181316455,-0.0017258382642997283,-0.002412922850330179,0.0003490292417864943,42,2021,False,B5
0,1,1,3065,766,0.6833604462003254,0.29311774979749117,0.10935192663249017,0.7496877178712527,0.36150493388773636,0.10470588970674546,0.7539870439228444,0.37056092777503935,0.10393261248073801,0.06632727167092722,0.06838718409024519,-0.004646036925744709,0.070626597722519,0.07744317797754818,-0.005419314151752161,0.004299326051591779,0.009055993887302993,-0.0007732772260074516,42,2021,False,B5
0,2,2,3065,766,0.6669983151289798,0.26026541663970004,0.11123232488742332,0.677870090634441,0.2905351541563251,0.11174849765690834,0.67830583313967,0.304238585786757,0.11035453155969663,0.010871775505461256,0.03026973751662504,0.0005161727694850127,0.011307518010690187,0.043973169147056956,-0.0008777933277266947,0.000435742505228931,0.013703431630431917,-0.0013939660972117074,42,2021,False,B5
0,3,3,3065,766,0.7000203346502442,0.36640716052430033,0.10234474166205203,0.7347344875668138,0.3961238385643026,0.10169676626399485,0.7385109226121311,0.4043242821894734,0.10109769772635616,0.03471415291656965,0.029716678040002276,-0.0006479753980571795,0.03849058796188698,0.03791712166517308,-0.0012470439356958712,0.003776435045317328,0.008200443625170806,-0.0005990685376386917,42,2021,False,B5
0,4,4,3065,766,0.7295491517545898,0.3393880312426882,0.10567459306644324,0.729113409249361,0.37925539719889356,0.10332132045484207,0.730246339762956,0.38727337954171603,0.10247005403004174,-0.00043574250522881997,0.03986736595620538,-0.002353272611601162,0.0006971880083662674,0.04788534829902785,-0.003204539036401499,0.0011329305135950873,0.008017982342822472,-0.0008512664248003371,42,2021,False,B5
1,0,5,3064,767,0.7197543218470821,0.358444390884489,0.10424236435870586,0.7348590323703446,0.3582060427264369,0.10412756781810567,0.735816219979116,0.3675216217414745,0.10352436348672998,0.015104710523262455,-0.00023834815805207077,-0.00011479654060018996,0.016061898132033847,0.00907723085698553,-0.0007180008719758768,0.0009571876087713926,0.0093155790150376,-0.0006032043313756869,42,2021,False,B5
1,1,6,3065,766,0.6332791075993492,0.2793562225784019,0.10849432982122566,0.6762287938647455,0.32847146628850465,0.10739355462482748,0.6744567743434813,0.3289408940178929,0.10732220231975845,0.0429496862653963,0.04911524371010273,-0.0011007751963981738,0.041177666744132035,0.04958467143949097,-0.00117212750146721,-0.0017720195212642675,0.00046942772938823873,-7.135230506903623e-05,42,2021,False,B5
1,2,7,3065,766,0.7055324773413897,0.3218886150839449,0.1061033929305866,0.7323960027887519,0.3499055018690477,0.10450421295065755,0.7402103183825238,0.36749202520171687,0.10345940638153284,0.026863525447362258,0.02801688678510278,-0.0015991799799290468,0.03467784104113414,0.04560341011777197,-0.0026439865490537617,0.007814315593771881,0.01758652333266919,-0.001044806569124715,42,2021,False,B5
1,3,8,3065,766,0.7050386358354637,0.3228365489724573,0.10650326596410732,0.7327082849174995,0.36317424661982245,0.10351682516190858,0.7287720776202649,0.3697569164110842,0.10287693589866914,0.02766964908203584,0.04033769764736517,-0.002986440802198745,0.02373344178480119,0.04692036743862693,-0.0036263300654381797,-0.003936207297234651,0.006582669791261764,-0.0006398892632394348,42,2021,False,B5
1,4,9,3065,766,0.6601426330467116,0.25823074094692455,0.11320601930242583,0.6837526144550313,0.30423589074042556,0.11006867287277612,0.6776522193818266,0.29878660329104917,0.11069909464729415,0.023609981408319713,0.04600514979350101,-0.003137346429649704,0.017509586335115013,0.040555862344124616,-0.0025069246551316787,-0.006100395073204701,-0.005449287449376394,0.0006304217745180252,42,2021,False,B5
