repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,nodemo_roc_auc,nodemo_pr_auc,nodemo_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_nodemo_minus_ed,delta_pr_nodemo_minus_ed,delta_brier_nodemo_minus_ed,delta_roc_nodemo_minus_full,delta_pr_nodemo_minus_full,delta_brier_nodemo_minus_full,holdout_seed,cv_random_state,holdout_used
0,0,0,3064,767,0.6386979347952197,0.2688798083348796,0.10976634154730357,0.7065712379626405,0.31983815381940783,0.10747142608738543,0.7040694976215338,0.3082886848802672,0.10868137088882923,0.0678733031674208,0.05095834548452821,-0.00229491545991814,0.06537156282631407,0.039408876545387606,-0.0010849706584743352,-0.0025017403411067285,-0.011549468939140606,0.0012099448014438047,42,2021,False
0,1,1,3065,766,0.6833604462003254,0.29311774979749117,0.10935192663249017,0.7496877178712527,0.36150493388773636,0.10470588970674546,0.7501597722519173,0.3613168962346942,0.10487568176832657,0.06632727167092722,0.06838718409024519,-0.004646036925744709,0.06679932605159189,0.06819914643720304,-0.004476244864163606,0.000472054380664666,-0.00018803765304215014,0.00016979206158110327,42,2021,False
0,2,2,3065,766,0.6669983151289798,0.26026541663970004,0.11123232488742332,0.677870090634441,0.2905351541563251,0.11174849765690834,0.6824381245642575,0.2890323065140909,0.11185248220529735,0.010871775505461256,0.03026973751662504,0.0005161727694850127,0.015439809435277674,0.028766889874390855,0.0006201573178740288,0.004568033929816417,-0.001502847642234184,0.00010398454838901616,42,2021,False
0,3,3,3065,766,0.7000203346502442,0.36640716052430033,0.10234474166205203,0.7347344875668138,0.3961238385643026,0.10169676626399485,0.7542557518010691,0.4081337319934789,0.1005663450680942,0.03471415291656965,0.029716678040002276,-0.0006479753980571795,0.054235417150824916,0.041726571469178575,-0.001778396593957829,0.019521264234255264,0.0120098934291763,-0.0011304211959006494,42,2021,False
0,4,4,3065,766,0.7295491517545898,0.3393880312426882,0.10567459306644324,0.729113409249361,0.37925539719889356,0.10332132045484207,0.7274575877294909,0.3651405781716427,0.10405555652481648,-0.00043574250522881997,0.03986736595620538,-0.002353272611601162,-0.002091564025098913,0.02575254692895451,-0.0016190365416267616,-0.0016558215198700932,-0.014114819027250869,0.0007342360699744005,42,2021,False
1,0,5,3064,767,0.7197543218470821,0.358444390884489,0.10424236435870586,0.7348590323703446,0.3582060427264369,0.10412756781810567,0.7460262211393432,0.35547977751360876,0.10407871973484153,0.015104710523262455,-0.00023834815805207077,-0.00011479654060018996,0.026271899292261147,-0.0029646133708802203,-0.00016364462386432577,0.011167188768998693,-0.0027262652128281495,-4.884808326413581e-05,42,2021,False
1,1,6,3065,766,0.6332791075993492,0.2793562225784019,0.10849432982122566,0.6762287938647455,0.32847146628850465,0.10739355462482748,0.6876016732512201,0.32464279992179895,0.10728302266152974,0.0429496862653963,0.04911524371010273,-0.0011007751963981738,0.05432256565187088,0.04528657734339703,-0.001211307159695918,0.011372879386474577,-0.003828666366705702,-0.00011053196329774417,42,2021,False
1,2,7,3065,766,0.7055324773413897,0.3218886150839449,0.1061033929305866,0.7323960027887519,0.3499055018690477,0.10450421295065755,0.7303625377643506,0.3528952412783697,0.10438049964978514,0.026863525447362258,0.02801688678510278,-0.0015991799799290468,0.024830060422960876,0.03100662619442479,-0.0017228932808014547,-0.002033465024401382,0.002989739409322012,-0.00012371330087240784,42,2021,False
1,3,8,3065,766,0.7050386358354637,0.3228365489724573,0.10650326596410732,0.7327082849174995,0.36317424661982245,0.10351682516190858,0.7415393330234719,0.3638490322471462,0.10351601222529326,0.02766964908203584,0.04033769764736517,-0.002986440802198745,0.03650069718800819,0.04101248327468893,-0.0029872537388140608,0.00883104810597235,0.0006747856273237596,-8.129366153158957e-07,42,2021,False
1,4,9,3065,766,0.6601426330467116,0.25823074094692455,0.11320601930242583,0.6837526144550313,0.30423589074042556,0.11006867287277612,0.6815158029281897,0.2952803941186758,0.11065660914797945,0.023609981408319713,0.04600514979350101,-0.003137346429649704,0.021373169881478082,0.03704965317175124,-0.0025494101544463743,-0.002236811526841631,-0.00895549662174977,0.0005879362752033296,42,2021,False
2,0,10,3064,767,0.6696615036547162,0.30282954143766044,0.10808230219814435,0.6821266968325792,0.32765788425512343,0.10741005052190246,0.6906253625710639,0.32356729832229136,0.10785932380874996,0.012465193177862988,0.02482834281746299,-0.0006722516762418945,0.020963858916347666,0.02073775688463092,-0.0002229783893943904,0.008498665738484679,-0.004090585932832069,0.0004492732868475041,42,2021,False
2,1,11,3065,766,0.6827068324424821,0.26510421559506225,0.11268651387097574,0.7265788403439462,0.3241249382968681,0.10827043974299017,0.7426286892865441,0.33647597813094965,0.10718944594996722,0.04387200790146406,0.05902072270180586,-0.0044160741279855725,0.05992185684406204,0.0713717625358874,-0.005497067921008514,0.016049848942597977,0.012351039834081534,-0.0010809937930229413,42,2021,False
2,2,12,3065,766,0.6846749360910993,0.3435388430424595,0.1040506644517957,0.6947768998373228,0.3510198228398436,0.10543569844048778,0.7244509644434115,0.3786913444335571,0.10315786652204115,0.010101963746223519,0.007480979797384102,0.0013850339886920804,0.0397760283523122,0.0351525013910976,-0.0008927979297545519,0.02967406460608868,0.0276715215937135,-0.0022778319184466322,42,2021,False
2,3,13,3065,766,0.7136735998140832,0.3051319052814599,0.1082801631338239,0.7338775273065303,0.34338953509584025,0.10529564812870972,0.737915407854985,0.3502546785536273,0.10474254069417151,0.02020392749244715,0.038257629814380356,-0.00298451500511418,0.024241808040901813,0.045122773272167405,-0.003537622439652388,0.004037880548454664,0.0068651434577870485,-0.0005531074345382081,42,2021,False
2,4,14,3065,766,0.679337090402045,0.33542053377198855,0.10507529833542066,0.703346502440158,0.33829301672381556,0.10637941203677374,0.7026347896816175,0.3280391866373576,0.10702609960921862,0.02400941203811291,0.0028724829518270156,0.0013041137013530824,0.02329769927957248,-0.007381347134630956,0.0019508012737979585,-0.0007117127585404281,-0.010253830086457971,0.0006466875724448762,42,2021,False
3,0,15,3064,767,0.6276757744517926,0.242358845355446,0.11212979286487262,0.6781674208144797,0.2823092216710106,0.11080376707988705,0.6869126348764356,0.28102067508034,0.11102372125875007,0.050491646362687104,0.039950376315564584,-0.0013260257849855711,0.059236860424643045,0.038661829724894015,-0.001106071606122555,0.008745214061955942,-0.0012885465906705695,0.00021995417886301605,42,2021,False
3,1,16,3065,766,0.7030269579363235,0.31806596508657814,0.1071429805837966,0.7399779223797349,0.37441823852264494,0.10286963800326955,0.757037241459447,0.3831661741212189,0.10238404727026466,0.036950964443411394,0.0563522734360668,-0.0042733425805270425,0.054010283523123426,0.06510020903464075,-0.0047589333135319295,0.017059319079712032,0.008747935598573953,-0.000485590733004887,42,2021,False
3,2,17,3065,766,0.6521394957006739,0.29811920209194037,0.1075342146804546,0.7005504880316059,0.3215850841057663,0.1081647223117159,0.7018141412967697,0.32267142153177186,0.10778666776836278,0.048410992330932046,0.023465882013825934,0.0006305076312612956,0.0496746455960958,0.02455221943983149,0.00025245308790818044,0.0012636532651637555,0.001086337426005557,-0.00037805454335311517,42,2021,False
