repeat,fold,fold_index,n_cv_train,n_cv_val,ed_roc_auc,ed_pr_auc,ed_brier,full_roc_auc,full_pr_auc,full_brier,noage_roc_auc,noage_pr_auc,noage_brier,delta_roc_full_minus_ed,delta_pr_full_minus_ed,delta_brier_full_minus_ed,delta_roc_noage_minus_ed,delta_pr_noage_minus_ed,delta_brier_noage_minus_ed,delta_roc_noage_minus_full,delta_pr_noage_minus_full,delta_brier_noage_minus_full,holdout_seed,cv_random_state,holdout_used
0,0,0,3064,767,0.6386979347952197,0.2688798083348796,0.10976634154730357,0.7065712379626405,0.31983815381940783,0.10747142608738543,0.6989282399350274,0.31710378926072613,0.10733236490754351,0.0678733031674208,0.05095834548452821,-0.00229491545991814,0.06023030513980765,0.04822398092584651,-0.002433976639760055,-0.007642998027613146,-0.002734364558681701,-0.00013906117984191502,42,2021,False
0,1,1,3065,766,0.6833604462003254,0.29311774979749117,0.10935192663249017,0.7496877178712527,0.36150493388773636,0.10470588970674546,0.7360199279572391,0.35429138290225365,0.10577757182800479,0.06632727167092722,0.06838718409024519,-0.004646036925744709,0.052659481756913706,0.06117363310476248,-0.003574354804485383,-0.013667789914013517,-0.0072135509854827085,0.0010716821212593264,42,2021,False
0,2,2,3065,766,0.6669983151289798,0.26026541663970004,0.11123232488742332,0.677870090634441,0.2905351541563251,0.11174849765690834,0.6776812688821753,0.294442672802768,0.1108017846088608,0.010871775505461256,0.03026973751662504,0.0005161727694850127,0.010682953753195501,0.03417725616306794,-0.0004305402785625273,-0.00018882175226575537,0.003907518646442898,-0.00094671304804754,42,2021,False
0,3,3,3065,766,0.7000203346502442,0.36640716052430033,0.10234474166205203,0.7347344875668138,0.3961238385643026,0.10169676626399485,0.7211828956541949,0.3831124462832474,0.10275336927964594,0.03471415291656965,0.029716678040002276,-0.0006479753980571795,0.021162561003950753,0.016705285758947086,0.0004086276175939152,-0.013551591912618899,-0.01301139228105519,0.0010566030156510947,42,2021,False
0,4,4,3065,766,0.7295491517545898,0.3393880312426882,0.10567459306644324,0.729113409249361,0.37925539719889356,0.10332132045484207,0.7429700209156404,0.3865064203693556,0.10241877378312876,-0.00043574250522881997,0.03986736595620538,-0.002353272611601162,0.013420869161050564,0.04711838912666744,-0.003255819283314476,0.013856611666279384,0.0072510231704620565,-0.000902546671713314,42,2021,False
1,0,5,3064,767,0.7197543218470821,0.358444390884489,0.10424236435870586,0.7348590323703446,0.3582060427264369,0.10412756781810567,0.7344892098851374,0.3644094622764809,0.10368585414659805,0.015104710523262455,-0.00023834815805207077,-0.00011479654060018996,0.014734888038055338,0.005965071391991927,-0.0005565102121078136,-0.00036982248520711636,0.006203419550043998,-0.00044171367150762364,42,2021,False
1,1,6,3065,766,0.6332791075993492,0.2793562225784019,0.10849432982122566,0.6762287938647455,0.32847146628850465,0.10739355462482748,0.665792760864513,0.32492177893146734,0.10769702756729359,0.0429496862653963,0.04911524371010273,-0.0011007751963981738,0.032513653265163756,0.04556555635306542,-0.0007973022539320695,-0.010436033000232547,-0.003549687357037312,0.00030347294246610423,42,2021,False
1,2,7,3065,766,0.7055324773413897,0.3218886150839449,0.1061033929305866,0.7323960027887519,0.3499055018690477,0.10450421295065755,0.7329624680455495,0.36457337916441207,0.1037095218271075,0.026863525447362258,0.02801688678510278,-0.0015991799799290468,0.027429990704159857,0.042684764080467175,-0.002393871103479092,0.0005664652567975992,0.014667877295364395,-0.0007946911235500453,42,2021,False
1,3,8,3065,766,0.7050386358354637,0.3228365489724573,0.10650326596410732,0.7327082849174995,0.36317424661982245,0.10351682516190858,0.7271453056007438,0.35114649637005707,0.10462495366502626,0.02766964908203584,0.04033769764736517,-0.002986440802198745,0.022106669765280085,0.02830994739759979,-0.0018783122990810586,-0.005562979316755756,-0.012027750249765379,0.0011081285031176863,42,2021,False
1,4,9,3065,766,0.6601426330467116,0.25823074094692455,0.11320601930242583,0.6837526144550313,0.30423589074042556,0.11006867287277612,0.6762723681152684,0.2996193424619146,0.11075576196735057,0.023609981408319713,0.04600514979350101,-0.003137346429649704,0.01612973506855675,0.04138860151499002,-0.0024502573350752566,-0.007480246339762964,-0.00461654827851099,0.0006870890945744473,42,2021,False
